Avatar 	0	46	4729	2477	2493	3477	World War Z 	Mad Hot Ballroom 	Wolves 	Hero 	Good Night, and Good Luck. 
Pirates of the Caribbean: At World's End 	1	2735	4145	4329	4416	4694	District B13 	Pocketful of Miracles 	No Man's Land: The Rise of Reeker 	The Gatekeepers 	King Kong 
Spectre 	2	3157	4510	4644	1970	2731	Love Jones 	Crowsnest 	Circumstance 	Draft Day 	Funny Games 
The Dark Knight Rises 	3	870	4579	213	4112	2990	Paddington 	Palo Alto 	Clash of the Titans 	Damsels in Distress 	Ravenous 
Star Wars: Episode VII - The Force Awakens             	4	1354	4047	21	294	1595	The Ninth Gate 	Goldfinger 	The Amazing Spider-Man 	The Other Guys 	Dodgeball: A True Underdog Story 
John Carter 	5	1770	2658	3	3628	730	Hocus Pocus 	Because of Winn-Dixie 	The Dark Knight Rises 	Novocaine 	The Scorch Trials 
Spider-Man 3 	6	2499	4708	1737	247	640	TRON: Legacy 	Woodstock 	Keeping the Faith 	Dante's Peak 	The Finest Hours 
Tangled 	7	4607	1368	4422	612	3722	The Jimmy Show 	Creed 	Unsullied 	The Dilemma 	The Man from Snowy River 
Avengers: Age of Ultron 	8	4881	4067	4639	1934	32	The Frozen 	Spaced Invaders 	L!fe Happens 	Spice World 	Iron Man 3 
Harry Potter and the Half-Blood Prince 	9	4066	3281	4675	4165	3094	The Bridge on the River Kwai 	Thunderball 	Iraq for Sale: The War Profiteers 	Donovan's Reef 	The Purge: Election Year 
Batman v Superman: Dawn of Justice 	10	4843	3905	1582	1841	3752	The Looking Glass 	The Last Exorcism Part II 	Ghostbusters 	Flatliners 	Solomon and Sheba 
Superman Returns 	11	4290	3696	1536	664	1156	Meek's Cutoff 	Insidious: Chapter 2 	Star Wars: Episode VI - Return of the Jedi 	Space Cowboys 	Chicken Run 
Quantum of Solace 	12	3307	3776	4649	571	2812	Hamlet 2 	90 Minutes in Heaven 	Snitch 	Talladega Nights: The Ballad of Ricky Bobby 	Wild Grass 
Pirates of the Caribbean: Dead Man's Chest 	13	4548	1538	3294	382	2871	An Inconvenient Truth 	The Reader 	Black Christmas 	Spy Game 	Light It Up 
The Lone Ranger 	14	2612	4832	3627	2483	5039	Tidal Wave 	Old Joy 	Shattered Glass 	The Prince 	The Following             
Man of Steel 	15	1567	2730	2521	1881	4245	Cats Don't Dance 	Crazy in Alabama 	Bobby Jones: Stroke of Genius 	Jimmy Neutron: Boy Genius 	Containment 
The Chronicles of Narnia: Prince Caspian 	16	1970	56	2699	479	2869	Draft Day 	Brave 	Here on Earth 	Bewitched             	Dick 
The Avengers 	17	3215	2358	1880	718	1638	Illuminata 	Sea of Love 	The Face of an Angel 	The General's Daughter 	Atonement 
Pirates of the Caribbean: On Stranger Tides 	18	1425	2622	760	463	4513	Radio 	The Queen 	Jack Ryan: Shadow Recruit 	The Book of Eli 	The Wicked Within 
Men in Black 3 	19	1301	633	352	3570	425	Big Miracle 	Despicable Me 	Men in Black 	A Home at the End of the World 	The Core 
The Hobbit: The Battle of the Five Armies 	20	1540	975	3721	2306	3127	Elf 	The Game 	House Party 2 	Willard 	Can't Hardly Wait 
The Amazing Spider-Man 	21	2388	4357	2619	4735	4023	Out of Inferno 	Nowhere Boy 	Halloween 	Osama 	High Anxiety 
Robin Hood 	22	2491	1217	2229	4729	4239	Beerfest 	JFK 	She's Out of My League 	Mad Hot Ballroom 	Bully 
The Hobbit: The Desolation of Smaug 	23	1057	2094	820	4819	4963	Dick Tracy 	Derailed 	Leatherheads 	Revolution             	Dude, Where's My Dog?! 
The Golden Compass 	24	3135	3367	4208	4976	2686	A Prairie Home Companion 	A Thin Line Between Love and Hate 	Super 	Queen Crab 	U2 3D 
King Kong 	25	4424	1910	2513	1564	3541	I Want Someone to Eat Cheese With 	Money Talks 	Brooklyn's Finest 	Dragon Wars: D-War 	Stargate: The Ark of Truth 
Titanic 	26	3963	4041	3321	3421	2096	The Loved Ones 	The Man Who Shot Liberty Valance 	The Girl on the Train 	Dear Wendy 	Shadowlands 
Captain America: Civil War 	27	1360	1627	1889	2313	3501	Riddick 	Midnight in Paris 	Legally Blonde 2: Red, White & Blonde 	Alone in the Dark 	The Last Temptation of Christ 
Battleship 	28	2235	1918	4235	3006	2621	Stick It 	Beauty Shop 	Chicken Tikka Masala 	Breakfast of Champions 	Bad Grandpa 
Jurassic World 	29	4412	2546	1891	3830	989	Buffalo '66 	The Unborn 	No Strings Attached 	Pat Garrett & Billy the Kid 	The Adventures of Sharkboy and Lavagirl 3-D 
Skyfall 	30	1798	4911	919	4498	4499	Welcome Home, Roscoe Jenkins 	The Case of the Grinning Cat 	Man on the Moon 	The Good, the Bad and the Ugly 	The Second Mother 
Spider-Man 2 	31	3779	4145	2920	681	4149	The Machinist 	Pocketful of Miracles 	The Golden Child 	Proof of Life 	Freakonomics 
Iron Man 3 	32	1154	153	3625	633	2228	21 Jump Street 	Beowulf 	Only the Strong 	Despicable Me 	Daybreakers 
Alice in Wonderland 	33	4787	731	4623	2895	821	Rise of the Entrepreneur: The Search for a Better Way 	Eat Pray Love 	Doc Holliday's Revenge 	Quest for Fire 	The Ridiculous 6 
X-Men: The Last Stand 	34	614	4730	1333	4900	732	Doom 	The Station Agent 	Frankenweenie 	The Grace Card 	The Family Man 
Monsters University 	35	4161	2382	1083	4103	363	Ulee's Gold 	The Nutcracker 	Monster-in-Law 	DysFunktional Family 	Tropic Thunder 
Transformers: Revenge of the Fallen 	36	4858	3431	1861	3081	482	American Desi 	Green Street 3: Never Back Down 	The Curse of the Jade Scorpion 	In the Land of Women 	Mighty Joe Young 
Transformers: Age of Extinction 	37	1416	2165	1925	2877	4187	L.A. Confidential 	Tammy 	The Hours 	Resurrecting the Champ 	Kevin Hart: Let Me Explain 
Oz the Great and Powerful 	38	4328	3230	4251	577	2185	The Lady from Shanghai 	Police Academy: Mission to Moscow 	It Follows 	Driven 	The Jungle Book 2 
The Amazing Spider-Man 2 	39	3551	2986	3957	3047	4181	Remember Me, My Love 	Two Lovers 	The Geographer Drank His Globe Away 	Brooklyn 	2016: Obama's America 
TRON: Legacy 	40	4880	2498	3273	100	4128	UnDivided 	40 Days and 40 Nights 	Kites 	The Fast and the Furious 	Alice in Wonderland 
